"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Dejan Lovren","Centre-Back",24,"Olympique Lyon","Ligue 1","Southampton","Premier League","2013-2014",7000000,10000000
"Josuha Guilavogui","Defensive Midfield",22,"Saint-Étienne","Ligue 1","Atlético Madrid","LaLiga","2013-2014",6500000,10000000
"Jozy Altidore","Centre-Forward",23,"AZ Alkmaar","Eredivisie","Sunderland","Premier League","2013-2014",5000000,10000000
"Simone Zaza","Centre-Forward",22,"Juventus","Serie A","Sassuolo","Serie A","2013-2014",4500000,10000000
"Sokratis","Centre-Back",25,"Werder Bremen","1.Bundesliga","Bor. Dortmund","1.Bundesliga","2013-2014",10000000,9900000
"Yahia Al-Shehri","Right Winger",23,"Al-Ettifaq","Professional League","Nasr","Professional League","2013-2014",600000,9800000
"Andrea Poli","Central Midfield",23,"Sampdoria","Serie A","AC Milan","Serie A","2013-2014",8000000,9700000
"José Callejón","Right Winger",26,"Real Madrid","LaLiga","SSC Napoli","Serie A","2013-2014",10000000,9500000
"Jorginho","Defensive Midfield",22,"Hellas Verona","Serie A","SSC Napoli","Serie A","2013-2014",10000000,9500000
"Vlad Chiriches","Centre-Back",23,"FCS Bucharest","Liga 1","Spurs","Premier League","2013-2014",8000000,9500000
"Vitinho","Second Striker",19,"Botafogo","Série A","CSKA Moscow","Premier Liga","2013-2014",3000000,9500000
"Dries Mertens","Centre-Forward",26,"PSV Eindhoven","Eredivisie","SSC Napoli","Serie A","2013-2014",13000000,9480000
"Marco van Ginkel","Central Midfield",20,"Vitesse","Eredivisie","Chelsea","Premier League","2013-2014",8000000,9400000
"Steven Caulker","Centre-Back",21,"Spurs","Premier League","Cardiff","Premier League","2013-2014",8000000,9150000
"Carlos Tévez","Second Striker",29,"Man City","Premier League","Juventus","Serie A","2013-2014",27000000,9000000
"Josip Ilicic","Attacking Midfield",25,"US Palermo","Serie B","Fiorentina","Serie A","2013-2014",9500000,9000000
"Jeremain Lens","Right Winger",25,"PSV Eindhoven","Eredivisie","Dynamo Kyiv","Premier Liga","2013-2014",9000000,9000000
"Wellington Nem","Attacking Midfield",21,"Fluminense","Série A","Shakhtar D.","Premier Liga","2013-2014",8000000,9000000
"Aleksandar Dragovic","Centre-Back",22,"FC Basel","Super League","Dynamo Kyiv","Premier Liga","2013-2014",7000000,9000000
"Dimitri Payet","Attacking Midfield",26,"LOSC Lille","Ligue 1","Marseille","Ligue 1","2013-2014",15000000,8700000
"Andreas Cornelius","Centre-Forward",20,"FC Copenhagen","Superligaen","Cardiff","Premier League","2013-2014",4500000,8700000
"Roberto","Goalkeeper",27,"Real Zaragoza","LaLiga2","Benfica","Liga NOS","2013-2014",4000000,8600000
"Abdelaziz Barrada","Attacking Midfield",24,"Getafe CF","LaLiga","Al-Jazira","UAE Gulf League","2013-2014",8000000,8500000
"Shane Long","Centre-Forward",27,"West Brom","Premier League","Hull City","Premier League","2013-2014",5500000,8500000
"Lucas Biglia","Defensive Midfield",27,"RSC Anderlecht","Jupiler Pro League","Lazio","Serie A","2013-2014",8000000,8400000
"Antonio Candreva","Right Winger",26,"Udinese Calcio","Serie A","Lazio","Serie A","2013-2014",10000000,8200000
"Nacer Chadli","Left Winger",23,"FC Twente","Eredivisie","Spurs","Premier League","2013-2014",9000000,8150000
"Beñat Etxebarria","Central Midfield",26,"Real Betis","LaLiga","Athletic Bilbao","LaLiga","2013-2014",12000000,8000000
"Cristian Ansaldi","Left-Back",26,"Rubin Kazan","Premier Liga","Zenit S-Pb","Premier Liga","2013-2014",10000000,8000000
"Gervinho","Left Winger",26,"Arsenal","Premier League","AS Roma","Serie A","2013-2014",10000000,8000000
"Adam Maher","Attacking Midfield",19,"AZ Alkmaar","Eredivisie","PSV Eindhoven","Eredivisie","2013-2014",9000000,8000000
"Denis Glushakov","Central Midfield",26,"Loko Moscow","Premier Liga","Spartak Moscow","Premier Liga","2013-2014",9000000,8000000
"Filip Djuricic","Attacking Midfield",21,"Heerenveen","Eredivisie","Benfica","Liga NOS","2013-2014",7000000,8000000
"Ádám Szalai","Centre-Forward",25,"1.FSV Mainz 05","1.Bundesliga","FC Schalke 04","1.Bundesliga","2013-2014",7000000,8000000
"Aras Özbiliz","Right Winger",23,"Kuban Krasnodar","Premier Liga","Spartak Moscow","Premier Liga","2013-2014",6500000,8000000
"Nilmar","Centre-Forward",29,"Al Rayyan","Stars League","El-Jaish","Stars League","2013-2014",5000000,8000000
"Dorlan Pabón","Second Striker",25,"Monterrey","Liga MX Clausura","Valencia CF","LaLiga","2013-2014",5000000,8000000
"Luis Alberto","Attacking Midfield",20,"Sevilla FC","LaLiga","Liverpool","Premier League","2013-2014",5000000,8000000
"Nikica Jelavic","Centre-Forward",28,"Everton","Premier League","Hull City","Premier League","2013-2014",6500000,7800000
"Duvier Riascos","Centre-Forward",27,"Club Tijuana","Liga MX Clausura","CF Pachuca","Liga MX Clausura","2013-2014",4000000,7600000
"Kévin Gameiro","Centre-Forward",26,"Paris SG","Ligue 1","Sevilla FC","LaLiga","2013-2014",10000000,7500000
"Alessandro Diamanti","Second Striker",30,"Bologna","Serie A","GZ Evergrande","Super League","2013-2014",8000000,7500000
"Emanuele Giaccherini","Left Winger",28,"Juventus","Serie A","Sunderland","Premier League","2013-2014",7500000,7500000
"Felipe Anderson","Right Winger",20,"Santos FC","Série A","Lazio","Serie A","2013-2014",6000000,7500000
"Saphir Taider","Central Midfield",21,"Bologna","Serie A","Inter","Serie A","2013-2014",5000000,7500000
"Wálter Montillo","Attacking Midfield",29,"Santos FC","Série A","SD Luneng","Super League","2013-2014",4000000,7500000
"Giannelli Imbula","Defensive Midfield",20,"Guingamp","Ligue 1","Marseille","Ligue 1","2013-2014",3000000,7500000
"Tiago Ilori","Centre-Back",20,"Sporting CP","Liga NOS","Liverpool","Premier League","2013-2014",1500000,7500000
"Duván Zapata","Centre-Forward",22,"Estudiantes","Torneo Final","SSC Napoli","Serie A","2013-2014",3000000,7470000
"Michael Bradley","Central Midfield",26,"AS Roma","Serie A","Toronto FC","MLS","2013-2014",6500000,7400000
"Jermain Defoe","Centre-Forward",31,"Spurs","Premier League","Toronto FC","MLS","2013-2014",6000000,7300000
"Alper Potuk","Attacking Midfield",22,"Eskisehirspor","Süper Lig","Fenerbahce","Süper Lig","2013-2014",6500000,7250000
"Lisandro López","Centre-Forward",30,"Olympique Lyon","Ligue 1","Al Gharafa","Stars League","2013-2014",8500000,7200000
"Papu Gómez","Second Striker",25,"Catania","Serie A","Metalist","Premier Liga","2013-2014",11000000,7000000
"Toby Alderweireld","Centre-Back",24,"AFC Ajax","Eredivisie","Atlético Madrid","LaLiga","2013-2014",10000000,7000000
"Stéphane Sessègnon","Attacking Midfield",29,"Sunderland","Premier League","West Brom","Premier League","2013-2014",9000000,7000000
"Felipe Caicedo","Centre-Forward",25,"Loko Moscow","Premier Liga","Al-Jazira","UAE Gulf League","2013-2014",8000000,7000000
"Diego Reyes","Centre-Back",20,"América","Liga MX Clausura","FC Porto","Liga NOS","2013-2014",7000000,7000000
"Leo Baptistão","Centre-Forward",20,"Rayo Vallecano","LaLiga","Atlético Madrid","LaLiga","2013-2014",7000000,7000000
"Vladimir Gabulov","Goalkeeper",29,"Anzhi","Premier Liga","Dinamo Moscow","Premier Liga","2013-2014",6500000,7000000
"Facundo Ferreyra","Centre-Forward",22,"Vélez Sarsfield","Torneo Final","Shakhtar D.","Premier Liga","2013-2014",6000000,7000000
"Arouna Koné","Centre-Forward",29,"Wigan","Championship","Everton","Premier League","2013-2014",5000000,7000000
"Oleg Shatov","Central Midfield",23,"Anzhi","Premier Liga","Zenit S-Pb","Premier Liga","2013-2014",5000000,7000000
"Clint Dempsey","Second Striker",30,"Spurs","Premier League","Sounders FC	","MLS","2013-2014",10000000,6800000
"Daniel Carvajal","Right-Back",21,"Bay. Leverkusen","1.Bundesliga","Real Madrid","LaLiga","2013-2014",10000000,6500000
"Benoît Trémoulinas","Left-Back",27,"G. Bordeaux","Ligue 1","Dynamo Kyiv","Premier Liga","2013-2014",9500000,6500000
"Tino Costa","Central Midfield",28,"Valencia CF","LaLiga","Spartak Moscow","Premier Liga","2013-2014",7000000,6500000
"Libor Kozak","Centre-Forward",24,"Lazio","Serie A","Aston Villa","Premier League","2013-2014",3800000,6500000
"Diego Souza","Attacking Midfield",28,"Cruzeiro","Série A","Metalist","Premier Liga","2013-2014",3500000,6500000
"Aurélien Chedjou","Centre-Back",28,"LOSC Lille","Ligue 1","Galatasaray","Süper Lig","2013-2014",12000000,6300000
"Gary Hooper","Centre-Forward",25,"Celtic","Premiership","Norwich","Premier League","2013-2014",5000000,6300000
"Alex Telles","Left-Back",21,"Grêmio","Série A","Galatasaray","Süper Lig","2013-2014",1500000,6150000
"Jucilei","Defensive Midfield",25,"Anzhi","Premier Liga","Al-Jazira","UAE Gulf League","2013-2014",11000000,6000000
"Giovani dos Santos","Second Striker",24,"RCD Mallorca","LaLiga2","Villarreal CF","LaLiga","2013-2014",6500000,6000000
"Matías Silvestre","Centre-Back",28,"US Palermo","Serie B","Inter","Serie A","2013-2014",6000000,6000000
"Cristián Zapata","Centre-Back",26,"Villarreal CF","LaLiga","AC Milan","Serie A","2013-2014",6000000,6000000
"Casemiro","Defensive Midfield",21,"São Paulo","Série A","Real Madrid","LaLiga","2013-2014",6000000,6000000
"Thiago Neves","Attacking Midfield",28,"Fluminense","Série A","Hilal","Professional League","2013-2014",5500000,6000000
"Timm Klose","Centre-Back",25,"1.FC Nuremberg","1.Bundesliga","VfL Wolfsburg","1.Bundesliga","2013-2014",5500000,6000000
"Mubarak Wakaso","Central Midfield",23,"Espanyol","LaLiga","Rubin Kazan","Premier Liga","2013-2014",5000000,6000000
"Roberto","Goalkeeper",27,"Benfica","Liga NOS","Atlético Madrid","LaLiga","2013-2014",4000000,6000000
"Vicente Iborra","Defensive Midfield",25,"Levante UD","LaLiga","Sevilla FC","LaLiga","2013-2014",4000000,6000000
"Igor Smolnikov","Right-Back",25,"Krasnodar","Premier Liga","Zenit S-Pb","Premier Liga","2013-2014",3500000,6000000
"Pedro León","Right Winger",26,"Real Madrid","LaLiga","Getafe CF","LaLiga","2013-2014",3000000,6000000
"Renê Júnior","Central Midfield",24,"Tombense"," Brazil","GZ Evergrande","Super League","2013-2014",750000,6000000
"Jonjo Shelvey","Central Midfield",21,"Liverpool","Premier League","Swansea","Premier League","2013-2014",5500000,5900000
"Victor Anichebe","Centre-Forward",25,"Everton","Premier League","West Brom","Premier League","2013-2014",5000000,5900000
"Stewart Downing","Left Midfield",29,"Liverpool","Premier League","West Ham","Premier League","2013-2014",8500000,5800000
"Tom Huddlestone","Defensive Midfield",26,"Spurs","Premier League","Hull City","Premier League","2013-2014",4500000,5800000
"Matt Phillips","Right Winger",22,"Blackpool","Championship","QPR","Championship","2013-2014",2000000,5800000
"Ishak Belfodil","Second Striker",21,"Parma","Serie A","Inter","Serie A","2013-2014",10000000,5750000
"Antonio Sanabria","Centre-Forward",17,"FC Barcelona B","LaLiga2","Sassuolo","Serie A","2013-2014",600000,5700000
"Maarten Stekelenburg","Goalkeeper",30,"AS Roma","Serie A","Fulham","Premier League","2013-2014",5500000,5600000
"Leroy Fer","Central Midfield",23,"FC Twente","Eredivisie","Norwich","Premier League","2013-2014",7500000,5500000
"Bruno Alves","Centre-Back",31,"Zenit S-Pb","Premier Liga","Fenerbahce","Süper Lig","2013-2014",6500000,5500000
"Vladimír Weiss","Left Winger",24,"Olympiacos","Super League","Al Duhail","Stars League","2013-2014",4200000,5300000
"Dwight Gayle","Centre-Forward",22,"Peterborough","League One","Crystal Palace","Premier League","2013-2014",750000,5300000
"Jérémy Toulalan","Defensive Midfield",29,"Málaga CF","LaLiga","Monaco","Ligue 1","2013-2014",15000000,5000000
"Marko Devic","Centre-Forward",30,"Metalist","Premier Liga","Rubin Kazan","Premier Liga","2013-2014",8000000,5000000
"Raffael","Second Striker",28,"Dynamo Kyiv","Premier Liga","Bor. M'gladbach","1.Bundesliga","2013-2014",7500000,5000000
"Lorenzo Melgarejo","Left Winger",23,"Benfica","Liga NOS","Kuban Krasnodar","Premier Liga","2013-2014",6500000,5000000
"Andreas Granqvist","Centre-Back",28,"Genoa","Serie A","Krasnodar","Premier Liga","2013-2014",6500000,5000000
"Franck Tabanou","Left-Back",24,"Toulouse","Ligue 1","Saint-Étienne","Ligue 1","2013-2014",6000000,5000000
"Benjamin Corgnet","Attacking Midfield",26,"FC Lorient","Ligue 1","Saint-Étienne","Ligue 1","2013-2014",5000000,5000000
"Rafael","Goalkeeper",23,"Santos FC","Série A","SSC Napoli","Serie A","2013-2014",4000000,5000000
"Tomás Pina","Central Midfield",25,"RCD Mallorca","LaLiga2","Villarreal CF","LaLiga","2013-2014",4000000,5000000
"Aleksey Ionov","Right Winger",24,"Kuban Krasnodar","Premier Liga","Anzhi","Premier Liga","2013-2014",4000000,5000000
"Aleksey Ionov","Right Winger",24,"Anzhi","Premier Liga","Dinamo Moscow","Premier Liga","2013-2014",4000000,5000000
"Ja-cheol Koo","Attacking Midfield",24,"VfL Wolfsburg","1.Bundesliga","1.FSV Mainz 05","1.Bundesliga","2013-2014",4000000,5000000
"Pavel Mamaev","Central Midfield",25,"CSKA Moscow","Premier Liga","Krasnodar","Premier Liga","2013-2014",3700000,5000000
"Martín Demichelis","Centre-Back",32,"Atlético Madrid","LaLiga","Man City","Premier League","2013-2014",3000000,5000000
"Paul-Georges Ntep","Left Winger",21,"AJ Auxerre","Ligue 2","Stade Rennais","Ligue 1","2013-2014",3000000,5000000
"Aleksandar Mitrovic","Centre-Forward",18,"Partizan","SuperLiga","RSC Anderlecht","Jupiler Pro League","2013-2014",3000000,5000000
"Faouzi Ghoulam","Left-Back",23,"Saint-Étienne","Ligue 1","SSC Napoli","Serie A","2013-2014",3000000,5000000
"Chris Mavinga","Left-Back",22,"Stade Rennais","Ligue 1","Rubin Kazan","Premier Liga","2013-2014",2500000,5000000
"Rodrigo Moledo","Centre-Back",25,"Internacional","Série A","Metalist","Premier Liga","2013-2014",2500000,5000000
"Raman Chibsah","Central Midfield",20,"Parma","Serie A","Sassuolo","Serie A","2013-2014",1500000,5000000
"Emre Can","Defensive Midfield",19,"Bayern Munich ","1.Bundesliga","Bay. Leverkusen","1.Bundesliga","2013-2014",1500000,5000000
"Myeong-ju Lee","Defensive Midfield",24,"Pohang Steelers","Korean FA Cup","Al-Ain FC","UAE Gulf League","2013-2014",1000000,5000000
"Aloísio","Centre-Forward",25,"São Paulo","Série A","SD Luneng","Super League","2013-2014",1000000,5000000
"Tin Jedvaj","Centre-Back",17,"Dinamo Zagreb","1.HNL","AS Roma","Serie A","2013-2014",750000,5000000
"Anthony Martial","Left Winger",17,"Olymp. Lyon B"," France","Monaco","Ligue 1","2013-2014",NA,5000000
"Sime Vrsaljko","Right-Back",21,"Dinamo Zagreb","1.HNL","Genoa","Serie A","2013-2014",5000000,4880000
"Dorlan Pabón","Second Striker",25,"Parma","Serie A","Monterrey","Liga MX Clausura","2013-2014",5000000,4830000
"Riccardo Saponara","Attacking Midfield",21,"FC Empoli","Serie B","AC Milan","Serie A","2013-2014",7000000,4800000
"Federico Peluso","Left-Back",29,"Atalanta","Serie A","Juventus","Serie A","2013-2014",5000000,4800000
"Teófilo Gutiérrez","Second Striker",28,"CD Cruz Azul","Liga MX Clausura","River Plate","Torneo Final","2013-2014",2000000,4800000
"Jores Okore","Centre-Back",20,"Nordsjaelland","Superligaen","Aston Villa","Premier League","2013-2014",4000000,4700000
"Charlie Austin","Centre-Forward",24,"Burnley","Championship","QPR","Championship","2013-2014",4500000,4650000
"Aldo de Nigris","Centre-Forward",29,"Monterrey","Liga MX Clausura","Chivas","Liga MX Clausura","2013-2014",3500000,4600000
"Mattia Destro","Centre-Forward",22,"Genoa","Serie A","AS Roma","Serie A","2013-2014",11500000,4500000
"Scott Parker","Central Midfield",32,"Spurs","Premier League","Fulham","Premier League","2013-2014",6000000,4500000
"Mevlüt Erdinc","Centre-Forward",26,"Stade Rennais","Ligue 1","Saint-Étienne","Ligue 1","2013-2014",6000000,4500000
"Domenico Berardi","Right Winger",19,"Sassuolo","Serie A","Juventus","Serie A","2013-2014",6000000,4500000
"Michal Kadlec","Left-Back",28,"Bay. Leverkusen","1.Bundesliga","Fenerbahce","Süper Lig","2013-2014",5000000,4500000
"Ilombe Mboyo","Centre-Forward",26,"KAA Gent","Jupiler Pro League","KRC Genk","Jupiler Pro League","2013-2014",5000000,4500000
"Daniel Caligiuri","Right Midfield",25,"SC Freiburg","1.Bundesliga","VfL Wolfsburg","1.Bundesliga","2013-2014",4500000,4500000
"Luca Marrone","Defensive Midfield",23,"Juventus","Serie A","Sassuolo","Serie A","2013-2014",4000000,4500000
"Ljubomir Fejsa","Defensive Midfield",25,"Olympiacos","Super League","Benfica","Liga NOS","2013-2014",2500000,4500000
"Ante Rebic","Left Winger",19,"RNK Split","1.HNL","Fiorentina","Serie A","2013-2014",1000000,4500000
"Long Zheng","Left Midfield",25,"QD Jonoon","Super League","GZ Evergrande","Super League","2013-2014",475000,4500000
"Angeliño","Left-Back",16,"Depor Jugend"," Spain","Man City U18"," England","2013-2014",NA,4500000
"Ignacio Scocco","Centre-Forward",28,"Al-Ain FC","UAE Gulf League","Internacional","Série A","2013-2014",6000000,4250000
"Ragnar Sigurdsson","Centre-Back",27,"FC Copenhagen","Superligaen","Krasnodar","Premier Liga","2013-2014",1750000,4250000
"Luca Cigarini","Defensive Midfield",27,"SSC Napoli","Serie A","Atalanta","Serie A","2013-2014",7500000,4200000
"Pablo Armero","Left-Back",26,"Udinese Calcio","Serie A","SSC Napoli","Serie A","2013-2014",9000000,4000000
"Serdar Tasci","Centre-Back",26,"VfB Stuttgart","1.Bundesliga","Spartak Moscow","Premier Liga","2013-2014",9000000,4000000
"Vladimír Darida","Central Midfield",23,"Viktoria Plzen","HET Liga","SC Freiburg","1.Bundesliga","2013-2014",7500000,4000000
"Michel Bastos","Left Midfield",30,"Olympique Lyon","Ligue 1","Al-Ain FC","UAE Gulf League","2013-2014",7000000,4000000
"Lisandro López","Centre-Back",23,"Arsenal FC","Torneo Final","Benfica","Liga NOS","2013-2014",7000000,4000000
"Nicolas Isimat-Mirin","Centre-Back",21,"Valenciennes FC","Ligue 1","Monaco","Ligue 1","2013-2014",4500000,4000000
"Kike Sola","Centre-Forward",27,"CA Osasuna","LaLiga","Athletic Bilbao","LaLiga","2013-2014",4000000,4000000
"Giannis Fetfatzidis","Right Winger",22,"Olympiacos","Super League","Genoa","Serie A","2013-2014",3250000,4000000
"Joel Robles","Goalkeeper",23,"Atlético Madrid","LaLiga","Everton","Premier League","2013-2014",3000000,4000000
"Henrique","Centre-Back",27,"Palmeiras","Série A","SSC Napoli","Serie A","2013-2014",2500000,4000000
"Charles Aránguiz","Central Midfield",24,"U. de Chile","Primera División","Udinese Calcio","Serie A","2013-2014",2200000,4000000
"Ilia Maksimov","Central Midfield",26,"KS Samara","Premier Liga","Anzhi","Premier Liga","2013-2014",2000000,4000000
"Jasmin Kurtic","Attacking Midfield",24,"US Palermo","Serie B","Sassuolo","Serie A","2013-2014",2000000,4000000
"Benjamin Mendy","Left-Back",18,"AC Le Havre","Ligue 2","Marseille","Ligue 1","2013-2014",2000000,4000000
"Nicolás López","Centre-Forward",19,"AS Roma","Serie A","Udinese Calcio","Serie A","2013-2014",1700000,4000000
"Oleksandr Volovyk","Centre-Back",27,"Metalurh D.","Premier Liga","Shakhtar D.","Premier Liga","2013-2014",1500000,4000000
"Rodney Strasser","Defensive Midfield",23,"AC Milan","Serie A","Genoa","Serie A","2013-2014",1200000,4000000
"Luis Suárez","Centre-Forward",27,"Liverpool","Premier League","FC Barcelona","LaLiga","2014-2015",52000000,81720000
"James Rodríguez","Attacking Midfield",23,"Monaco","Ligue 1","Real Madrid","LaLiga","2014-2015",60000000,75000000
"Ángel Di María","Right Winger",26,"Real Madrid","LaLiga","Man Utd","Premier League","2014-2015",50000000,75000000
"David Luiz","Centre-Back",27,"Chelsea","Premier League","Paris SG","Ligue 1","2014-2015",26000000,49500000
"Alexis Sánchez","Left Winger",25,"FC Barcelona","LaLiga","Arsenal","Premier League","2014-2015",30000000,42500000
"Diego Costa","Centre-Forward",25,"Atlético Madrid","LaLiga","Chelsea","Premier League","2014-2015",35000000,38000000
"Luke Shaw","Left-Back",18,"Southampton","Premier League","Man Utd","Premier League","2014-2015",13000000,37500000
"Ander Herrera","Central Midfield",24,"Athletic Bilbao","LaLiga","Man Utd","Premier League","2014-2015",20000000,36000000
"Romelu Lukaku","Centre-Forward",21,"Chelsea","Premier League","Everton","Premier League","2014-2015",25000000,35360000
"Cesc Fàbregas","Central Midfield",27,"FC Barcelona","LaLiga","Chelsea","Premier League","2014-2015",50000000,33000000
"Wilfried Bony","Centre-Forward",26,"Swansea","Premier League","Man City","Premier League","2014-2015",17000000,32300000
"André Schürrle","Left Winger",24,"Chelsea","Premier League","VfL Wolfsburg","1.Bundesliga","2014-2015",23000000,32000000
"Juan Cuadrado","Right Winger",26,"Fiorentina","Serie A","Chelsea","Premier League","2014-2015",32000000,31000000
"Adam Lallana","Attacking Midfield",26,"Southampton","Premier League","Liverpool","Premier League","2014-2015",7500000,31000000
"Eliaquim Mangala","Centre-Back",23,"FC Porto","Liga NOS","Man City","Premier League","2014-2015",28000000,30500000
"Antoine Griezmann","Centre-Forward",23,"Real Sociedad","LaLiga","Atlético Madrid","LaLiga","2014-2015",30000000,30000000
"Medhi Benatia","Centre-Back",27,"AS Roma","Serie A","Bayern Munich ","1.Bundesliga","2014-2015",28000000,28000000
"Dejan Lovren","Centre-Back",25,"Southampton","Premier League","Liverpool","Premier League","2014-2015",12000000,25300000
"Toni Kroos","Central Midfield",24,"Bayern Munich ","1.Bundesliga","Real Madrid","LaLiga","2014-2015",42000000,25000000
"Enzo Pérez","Central Midfield",28,"Benfica","Liga NOS","Valencia CF","LaLiga","2014-2015",23000000,25000000
"Lazar Markovic","Right Winger",20,"Benfica","Liga NOS","Liverpool","Premier League","2014-2015",10000000,25000000
"Juan Iturbe","Right Winger",21,"Hellas Verona","Serie A","AS Roma","Serie A","2014-2015",20000000,24500000
"Sadio Mané","Left Winger",22,"RB Salzburg","Bundesliga","Southampton","Premier League","2014-2015",7500000,23000000
"Mario Mandzukic","Left Winger",28,"Bayern Munich ","1.Bundesliga","Atlético Madrid","LaLiga","2014-2015",30000000,22000000
"Calum Chambers","Centre-Back",19,"Southampton","Premier League","Arsenal","Premier League","2014-2015",2000000,20230000
"Mario Balotelli","Centre-Forward",24,"AC Milan","Serie A","Liverpool","Premier League","2014-2015",27000000,20000000
"Danny Welbeck","Centre-Forward",23,"Man Utd","Premier League","Arsenal","Premier League","2014-2015",17000000,20000000
"Filipe Luís","Left-Back",28,"Atlético Madrid","LaLiga","Chelsea","Premier League","2014-2015",15000000,20000000
"Jérémy Mathieu","Centre-Back",30,"Valencia CF","LaLiga","FC Barcelona","LaLiga","2014-2015",12000000,20000000
"Marcos Rojo","Centre-Back",24,"Sporting CP","Liga NOS","Man Utd","Premier League","2014-2015",12000000,20000000
"Álvaro Morata","Centre-Forward",21,"Real Madrid","LaLiga","Juventus","Serie A","2014-2015",12000000,20000000
"Thomas Vermaelen","Centre-Back",28,"Arsenal","Premier League","FC Barcelona","LaLiga","2014-2015",15000000,19000000
"Ciro Immobile","Centre-Forward",24,"Torino","Serie A","Bor. Dortmund","1.Bundesliga","2014-2015",18000000,18500000
"Ivan Rakitic","Central Midfield",26,"Sevilla FC","LaLiga","FC Barcelona","LaLiga","2014-2015",20000000,18000000
"Alberto Moreno","Left-Back",22,"Sevilla FC","LaLiga","Liverpool","Premier League","2014-2015",15000000,18000000
"Daley Blind","Left-Back",24,"AFC Ajax","Eredivisie","Man Utd","Premier League","2014-2015",12000000,17500000
"Javi García","Defensive Midfield",27,"Man City","Premier League","Zenit S-Pb","Premier Liga","2014-2015",12000000,16800000
"Jan Oblak","Goalkeeper",21,"Benfica","Liga NOS","Atlético Madrid","LaLiga","2014-2015",4000000,16000000
"Bernardo Silva","Right Winger",20,"Benfica","Liga NOS","Monaco","Ligue 1","2014-2015",3500000,15750000
"Juan Iturbe","Right Winger",21,"FC Porto","Liga NOS","Hellas Verona","Serie A","2014-2015",20000000,15000000
"Alessio Cerci","Right Winger",27,"Torino","Serie A","Atlético Madrid","LaLiga","2014-2015",18000000,15000000
"Radja Nainggolan","Central Midfield",26,"Cagliari Calcio","Serie A","AS Roma","Serie A","2014-2015",18000000,15000000
"Fernando","Defensive Midfield",26,"FC Porto","Liga NOS","Man City","Premier League","2014-2015",17500000,15000000
"Éverton Ribeiro","Attacking Midfield",25,"Cruzeiro","Série A","Al-Ahli (UAE)","UAE Gulf League","2014-2015",17000000,15000000
"Ricardo Goulart","Second Striker",23,"Cruzeiro","Série A","GZ Evergrande","Super League","2014-2015",11000000,15000000
"Mathieu Debuchy","Right-Back",28,"Newcastle","Premier League","Arsenal","Premier League","2014-2015",10000000,15000000
"Gabriel Paulista","Centre-Back",24,"Villarreal CF","LaLiga","Arsenal","Premier League","2014-2015",8000000,15000000
"Enner Valencia","Centre-Forward",24,"CF Pachuca","Liga MX Clausura","West Ham","Premier League","2014-2015",1600000,15000000
"Shane Long","Centre-Forward",27,"Hull City","Premier League","Southampton","Premier League","2014-2015",6000000,14900000
"Hakan Calhanoglu","Left Winger",20,"Hamburger SV","1.Bundesliga","Bay. Leverkusen","1.Bundesliga","2014-2015",7000000,14500000
"Seydou Doumbia","Centre-Forward",27,"CSKA Moscow","Premier Liga","AS Roma","Serie A","2014-2015",25000000,14400000
"Dusan Tadic","Attacking Midfield",25,"FC Twente","Eredivisie","Southampton","Premier League","2014-2015",10000000,14000000
"Ryan Bertrand","Left-Back",25,"Chelsea","Premier League","Southampton","Premier League","2014-2015",6000000,13340000
"Loïc Rémy","Centre-Forward",27,"QPR","Premier League","Chelsea","Premier League","2014-2015",12000000,13200000
"Lucas Silva","Central Midfield",21,"Cruzeiro","Série A","Real Madrid","LaLiga","2014-2015",12000000,13000000
"Aymen Abdennour","Centre-Back",24,"Toulouse","Ligue 1","Monaco","Ligue 1","2014-2015",6000000,13000000
"Konstantinos Manolas","Centre-Back",23,"Olympiacos","Super League","AS Roma","Serie A","2014-2015",6000000,13000000
"Ben Davies","Left-Back",21,"Swansea","Premier League","Spurs","Premier League","2014-2015",5500000,12650000
"Brown Ideye","Centre-Forward",25,"Dynamo Kyiv","Premier Liga","West Brom","Premier League","2014-2015",7000000,12630000
"Divock Origi","Centre-Forward",19,"LOSC Lille","Ligue 1","Liverpool","Premier League","2014-2015",1000000,12630000
"Jack Rodwell","Defensive Midfield",23,"Man City","Premier League","Sunderland","Premier League","2014-2015",12000000,12600000
"Manolo Gabbiadini","Centre-Forward",23,"Sampdoria","Serie A","SSC Napoli","Serie A","2014-2015",12000000,12500000
"Fraser Forster","Goalkeeper",26,"Celtic","Premiership","Southampton","Premier League","2014-2015",4500000,12500000
"Marc-André ter Stegen","Goalkeeper",22,"Bor. M'gladbach","1.Bundesliga","FC Barcelona","LaLiga","2014-2015",20000000,12000000
"Nicolás Otamendi","Centre-Back",26,"FC Porto","Liga NOS","Valencia CF","LaLiga","2014-2015",12000000,12000000
"Kevin Kampl","Central Midfield",24,"RB Salzburg","Bundesliga","Bor. Dortmund","1.Bundesliga","2014-2015",9000000,12000000
"Emre Can","Defensive Midfield",20,"Bay. Leverkusen","1.Bundesliga","Liverpool","Premier League","2014-2015",7500000,12000000
"Abel Hernández","Centre-Forward",24,"US Palermo","Serie A","Hull City","Premier League","2014-2015",5000000,12000000
