Nombre del proyecto,Tipo de aplicación,Descripción,Categoría,Año del proyecto,Licencia,URL,URL Código,Organización,E-mail de contacto,Características,Versión,Fecha,URL Video,URL Documentación
LENGUAJE R,Software Cívico,"R es uno de los lenguajes y entornos de programación para análisis estadístico y gráfico más utilizado en el campo de la minería de datos, que puede aplicarse a gran variedad de disciplinas.

Es un proyecto colaborativo y abierto por lo que los desarrolladores pueden descargar el código de forma gratuita y modificarlo para incluir mejoras. Proporciona una amplia gama de herramientas estadísticas que incluyen análisis de datos y generación de gráficos, además de ofrecer la posibilidad de cargar bibliotecas y paquetes con diversas funcionalidades, lo que permite a los usuarios extender su configuración básica.",Lenguajes de programación,2018,,https://www.r-project.org/,https://github.com/rstudio,R Foundation,,"Junto con R se incluyen ocho bibliotecas o paquetes (llamadas bibliotecas estándar), sin embargo, existen muchos paquetes más disponibles a través de Internet en (http://www.r -project.org). Actualmente se encuentran disponibles 2337 librerías desarrolladas en R, que cubren multitud de campos desde aplicaciones Bayesianas, financieras, gráfico de mapas, análisis de datos espaciales, etc. Esto es lo que define a R como un entorno vivo, que se actualiza con frecuencia y que está abierto a la mejora continua.

Funcionalidades:
* Software libre y gratuito.
* Multiplataforma.
* Código abierto.
* Actualizaciones constantes.
* Buena interfaz visual sin necesidad de programar.",3.5.1,2018-07-07T00:00:00.000,https://www.youtube.com/watch?v=SeyghJ5cdm4,https://www.rdocumentation.org/
LENGUAJE PYTHON,Software Cívico,"Python es un lenguaje de programación interpretado, orientado a objetos y de alto nivel con semántica dinámica. Sus estructuras de datos integradas de alto nivel, combinadas con el tipado dinámico y el enlace dinámico, lo hacen muy atractivo para el desarrollo rápido de aplicaciones, así como también para usarlo como scripting o lenguaje de pegado para conectar componentes existentes. La sintaxis simple y fácil de aprender de Python enfatiza la legibilidad y, por lo tanto, reduce el costo del mantenimiento del programa.

Python admite módulos y paquetes, lo que fomenta la modularidad del programa y la reutilización de código. El intérprete de Python y la extensa biblioteca estándar están disponibles en formato fuente o binario sin cargo para todas las plataformas principales, y se pueden distribuir libremente.",Lenguajes de programación,2018,,https://www.python.org/,https://github.com/python,Python Software Foundation,,"Una característica notable de Python es su sangría de las declaraciones fuente para hacer que el código sea más fácil de leer. Python ofrece tipos de datos dinámicos, clases preparadas e interfaces para muchas llamadas y bibliotecas del sistema.

Funcionalidades:
* Fácil de aprender cuando se tienen bases de programación y se viene de un entorno Web
* Lenguaje Generalista
* Gratuito
* Software abierto
* Rápido de desarrollar
* Sencillo y veloz
* Multiplataforma
* Fácil gestión de errores mediante las excepciones",3.7.0,2018-01-06T00:00:00.000,https://www.youtube.com/playlist?list=PLU8oAlHdN5BlvPxziopYZRd55pdqFwkeS,https://www.python.org/doc/
KNIME,Software Cívico,"Es una plataforma de código abierto para analíticas, reporte e integración de información. Considera varios componentes para machine Machine learning Learning y minería de datos a través de su concepto de flujo de datos modular, y permite una interfaz de usuario gráfica que permite el ensamble de nodos para procesamiento de información, modelación y análisis y visualización de datos (PAT Research, 2018).",Herramientas de analítica,2018,,https://www.knime.com/,https://github.com/knime,KNIME AG,,"La versión central incluye cientos de módulos para la integración, y los nodos de bases de datos soportan todos los sistemas gestores de bases de datos comunes. Usando la extensión gratuita Report Designer los flujos de trabajo pueden ser usados como conjuntos de datos para crear plantillas que pueden ser exportadas a documentos en formato .doc, .ppt, .xls, .pdf, entre otros. También existen complementos que permiten la integración de métodos de minería de texto y de imágenes, así como análisis de series de tiempo (PAT Research, 2018).

Funcionalidades:
* Software libre bajo licencia GNU.
* Combinación de datos y herramientas.
* Analíticas poderosas.
* Más de 1000 módulos y creciendo.
* Conectores para todos los formatos de archivos y bases de datos más utilizadas.
* Soporte para una gran variedad de tipos de datos.
* Combinación y transformación de datos nativa y en la base de datos.
* Funciones matemáticas y estadísticas.
* Algoritmos de predicción avanzados y de Machine Learning.
* Control de flujo.
* Herramienta de unión para R, Python, SQL, Java, Weka, etc.
* Vistas de datos y reportes interactivos",3.6,2018-02-07T00:00:00.000,https://www.youtube.com/watch?v=oYHofs9ZHQ4,https://www.knime.com/documentation
RAPIDMINER,Software Cívico,"Es una solución que facilita el análisis predictivo permitiendo procesos de analítica avanzada mediante un esquema de programación drag & drop, y opcionalmente la posterior generación de código.
Este modelo de solución acelera la creación de prototipos y la validación de modelos, al mismo tiempo que agiliza la transformación, el desarrollo y la validación de datos.

RapidMiner está escrita en Java y contiene más de 500 operadores con diferentes enfoques para mostrar las conexiones en los datos: hay opciones para minería de datos, minería de texto o minería web, y también para el análisis de sentimientos o minería de opinión.

Proporciona tres herramientas: RapidMiner Studio, RapidMiner Server y RapidMiner Radoop, cada una enfocada a una técnica diferente de la minería de datos.",Herramientas de analítica,2018,,https://rapidminer.com/,https://github.com/rapidminer,Rapidminer Inc,,"Funcionalidades:
• Acceso a datos, limpieza, preparación y modelación con RapidMiner Studio.
• Reducción de la complejidad de Hadoop, procesamiento escalable, acceso a grandes volúmenes de datos y optimización para Hadoop con RapidMiner Radoop.
• Plataforma unificada.
• Amplia conectividad.
• Cuenta con una plataforma web que permite publicar reportes, implementar sistemas de scoring, diseño y navegación web de reportes, integración vía servicios web.
• Fácil desarrollo debido a su interfaz gráfica (drag & drop).
• Permite el uso de código en R y Python.",9.0.3,2018-01-10T00:00:00.000,https://www.youtube.com/watch?v=r-Pkvvl8edo,https://docs.rapidminer.com/
MICROSOFT R SERVER,Software Cívico,"La familia de productos de Microsoft R incluye Microsoft R Server, Microsoft R Client, Microsoft R Open y SQL Server R Services. Microsoft R es la plataforma de análisis de nivel empresarial de despliegue más amplio para R. Soporta una gran variedad de estadísticas de Big Data, modelación predictiva y capacidades de Machine Learning. Así mismo, soporta el rango completo de analíticas de exploración, análisis, visualización y modelación basadas en R.
Microsoft R Client es una herramienta de ciencia de datos para análisis de alto rendimiento. Está construido sobre Microsoft R Open, por lo que se puede usar cualquier paquete de R para construir analíticas propias. Adicionalmente, Microsoft R Client integra el poder de la tecnología ScaleR y sus funciones propietarias para beneficiar con la paralelización e informática remota (PAT Research, 2018).",Herramientas de analítica,2018,,https://mran.microsoft.com/,https://github.com/Microsoft/microsoft-r,Microsoft Corp.,,"Microsoft R Open es una distribución mejorada de R de Microsoft Corporation; es una plataforma completa de código abierto para análisis estadísticos y ciencia de datos. Al ser desarrollada en la máquina de código abierto R, Microsoft R Open es completamente compatible con paquetes, scripts y aplicaciones que trabajan con esa versión de R. Permite una mejora en el desempeño, en comparación con la distribución de R estándar, ya que se apalanca del alto rendimiento y librerías matemáticas multihilo (PAT Research, 2018).
Por su parte SQL Server R Services provee una plataforma de desarrollo de aplicaciones inteligentes. Se puede usar el poder de R y de sus paquetes para crear modelos y generar predicciones usando datos de SQL Server.

Funcionalidades:
• Realiza el análisis en los datos.
• Construcción de aplicaciones con capacidad para inteligencia artificial.
• Experiencia mejorada y velocidad de despliegue.
• Adaptable a las necesidades futuras.
• Escala las analíticas en R para Big Data.
• Soporte.",3.5.1,2018-01-08T00:00:00.000,https://www.youtube.com/watch?v=AZ6VPuQ4GKw,https://mran.microsoft.com/documents/getting-started
H2O,Software Cívico,H2O.ai es una API de Machine Learning de código abierto y de fácil escalabilidad para las aplicaciones más inteligentes. H2O hace posible para todos aplicar analíticas predictivas y Machine Learning para resolver los problemas de negocio más desafiantes.,,2018,,https://www.h2o.ai/,https://github.com/h2oai,H2O.ai,,"Funcionalidades:
• Código abierto.
• Interfaz gráfica de usuario basada en la web fácil de usar.
• Carga, exploración, depuración y selección de información.
• Creación y evaluación de modelos.
• La capacidad de respuesta del procesamiento en memoria y la capacidad de ejecutar una socialización rápida entre nodos y clústeres se combinan para que pueda soportar las solicitudes de grandes conjuntos de datos.
• La API REST de H2O permite el acceso a todas las capacidades de H2O desde un script externo vía JSON a través de HTTP.
• Alta velocidad, calidad, facilidad de uso y despliegue del modelo.
• Involucra lenguajes como R, Python, Java, Scala, JSON y a través de APIs poderosas.
• Incluye conexiones a fuentes de datos desde HDFS, S3, SQL y No SQL.
• Análisis de Big Data escalable de manera masiva.
• Scoring de datos en tiempo real.",3.20.0.9,2018-01-10T00:00:00.000,https://www.youtube.com/watch?v=g7drhm_SdbQ,http://docs.h2o.ai/
ANACONDA,Software Cívico,"Anaconda es una plataforma abierta de ciencia de datos alimentada por Python. La versión de código abierto es una distribución de Python y R de alto rendimiento, e incluye más de 100 de los paquetes de ciencia de datos más populares de estos lenguajes. También cuenta con acceso a más de 720 paquetes que pueden ser fácilmente instalados con Anaconda (el paquete, dependencia y gestor de ambiente que es incluido en Anaconda) (PAT Research, 2018).",Herramientas de analítica,2018,,https://anaconda.org/,https://github.com/Anaconda-Platform,Anaconda Inc,,"El repositorio de Anaconda otorga a los equipos de ciencia de datos una manera fácil de reproducir, desarrollar y publicar activos de ciencia de datos. Los paquetes, bloc de notas y ambientes pueden ser compartidos para mejorar la productividad del equipo y asegurar la consistencia.

Funcionalidades:
• Análisis de flujos de trabajo.
• Análisis de interacción.
• Distribución de alto rendimiento.
• Analíticas avanzadas.
• Escalamiento de alto rendimiento.
• Reproducibilidad.
• Despliegue analítico.",5.3.0,2018-01-09T00:00:00.000,https://www.youtube.com/watch?v=9mAmZIRfJBs,
GNU OCTAVE,Software Cívico,"GNU Octave es un lenguaje de alto nivel, destinado principalmente a cálculos numéricos. Proporciona una interfaz de línea de comando conveniente para resolver problemas lineales y no lineales numéricamente, y para realizar otros experimentos numéricos utilizando un lenguaje que es principalmente compatible con Matlab. 

Es fácilmente extensible y personalizable a través de funciones definidas por el usuario escritas en el propio lenguaje de Octave, o utilizando módulos cargados dinámicamente escritos en C ++, C, Fortran u otros lenguajes.
 
Es un software libre que corre sobre GNU/Linux, macOS, BSD y Windows.

El objetivo principal de este software es ayudar a los usuarios a resolver problemas realísticos o usarlos como aplicación de enseñanza, investigación y comercial.",,2018,,https://www.gnu.org/software/octave/,https://github.com/NexMirror/Octave,GNU.org,,"Funcionalidades:

• Puede correr de distintas formas: en la interfaz de usuario, en la consola, o invocada como parte de un script Shell.
• Sintaxis altamente compatible con Matlab.
• Destinado a cálculos numéricos.",4.4.1,2018-01-08T00:00:00.000,https://www.youtube.com/playlist?list=PLrGTUbT7uCuYxCe_RVOG09z0GI2McacwE,https://octave.org/doc/interpreter/
WEKA,Software Cívico,"Es una colección de algoritmos de Machine Learning para tareas de minería de datos. Contiene herramientas para la preparación de datos, clasificación, regresión, agrupación, minería de reglas de asociación y visualización. 
Es importante mencionar que Weka se basa en la suposición de que los datos están disponibles como un solo archivo plano o de relación, donde cada punto de datos se describe por un número fijo de atributos. Los datos pueden ser importados de formatos como ARFF, CSV, C4.5, binarios, así como de un URL o de una base de datos SQL usando Java Database Connectivity (JDBC).

La interfaz principal de usuario es el explorador, y se puede acceder a las mismas funcionalidades a través de la interfaz de flujo de conocimiento basada en componentes o a través de la línea de comandos. También cuenta con Experimenter, el cual permite la comparación sistemática de la ejecución de los algoritmos predictivos de Machine Learning de Weka.",,2018,,https://www.cs.waikato.ac.nz/ml/weka/index.html,https://github.com/Waikato/weka-3.8,The University of Waikato,,"Funcionalidades:

• Acceso a bases de datos SQL usando JDBC.
• Los algoritmos pueden ser aplicados directamente o llamados a partir de código Java.
• Preparación de datos.
• Técnicas de Machine Learning como: regresión logística, perceptrones multicapa, máquinas de vectores de soporte, árboles de decisión, etc.
• Visualización.",3.8,2018-01-09T00:00:00.000,https://www.youtube.com/watch?v=yseeBbEluik,https://www.cs.waikato.ac.nz/ml/weka/documentation.html
ORANGE DATA MINING,Software Cívico,"Es una herramienta de Código abierto para análisis y visualización de datos donde la minería de datos se hace a través de programación visual o por código de Python. Cuenta con componentes para Machine Learning, adiciones para bioinformática y minería de texto.

Consiste en una interfaz en la que el usuario coloca widgets y crea flujos de trabajo para el análisis de datos. Estos widgets otorgan funcionalidades como: leer datos, mostrar una tabla, selección de variables, comparación de algoritmos, visualización de elementos, etc.",,2018,,https://orange.biolab.si/,https://github.com/biolab/orange3,University of Ljubljana - Bioninformatics Lab,,"Se pueden desarrollar widgets, los cuales pueden ser extendidos como complementos, permitiendo que los componentes y códigos puedan ser reutilizados.
Orange corre sobre Windows, Mac OS X y una variedad de sistemas operativos Linux.

Funcionalidades:

• Visualización interactiva de datos.
• Programación visual (interfaz gráfica de usuario).
• Adiciones disponibles para minar datos de fuentes de datos externas, minería de texto, análisis de redes.
• Recuerda las selecciones y sugiere las combinaciones más utilizadas.
• Existen más de 100 widgets que cubren las tareas estandarizadas del análisis de datos.",3.16,2018-01-09T00:00:00.000,https://www.youtube.com/playlist?list=PLmNPvQr9Tf-ZSDLwOzxpvY-HrE0yv-8Fy&disable_polymer=true,https://orange.biolab.si/docs/
TANAGRA,Software Cívico,"Tanagra es un software gratuito de minería de datos para fines académicos y de investigación. Propone varios métodos de minería de datos, de análisis exploratorio, aprendizaje estadístico, aprendizaje automático y área de bases de datos.
En Tanagra el usuario puede diseñar visualmente un proceso de minería de datos en un diagrama, donde cada nodo es una técnica estadística o de aprendizaje automático y la conexión entre dos nodos representa la transferencia de datos, de tal manera que los tratamientos están representados en un diagrama de árbol. Los resultados se muestran en formato HTML, por lo que es fácil exportar los resultados para ser visualizados en un navegador. También es posible copiar las tablas de resultados en una hoja de cálculo.

Tanagra hace un buen uso de los enfoques estadísticos (por ejemplo, pruebas estadísticas paramétricas y no paramétricas), los métodos de análisis multivariable (por ejemplo, análisis factorial, análisis de correspondencia, análisis de conglomerados, regresión) y las técnicas de aprendizaje automático (por ejemplo, red neuronal, máquina de soporte vectorial, árboles de decisión)",,2013,,http://eric.univ-lyon2.fr/~ricco/tanagra/en/tanagra.html,,RICCO ROKOTOMALALA,,,1.4.50,11/13/2018 12:00:00 AM,https://www.youtube.com/watch?v=5MtsExnb_J0,http://eric.univ-lyon2.fr/~ricco/tanagra/en/tanagra.html
GANAControl,Software Público,"Herramienta de visualización de datos que brinda a la ciudadanía y a los diferentes organismos de control la información actualizada del presupuesto y contratación de la Gobernación de Nariño, obtenida a partir de las operaciones presupuestales, contables, de tesorería y de contratación del personal almacenadas en los sistemas de la institución.",Gastos Gubernamentales,2016,GNU General Public License (GPL) 2.0,http://ganacontrol.nariño.gov.co,https://github.com/gobiernoabiertonarino/GANA/tree/master/GANAcontrol,Gobernación de Nariño,gana@narino.gov.co,"GANAControl fue desarrollado bajo los criterios de software libre (su código fuente está disponible para ser reutilizado, estudiado, modificado y distribuido libremente), utilizando HTML 5 para el desarrollo de la interfaz en conjunto con la librería de visualización D3plus, el framework Booststrap, CSS 3 y JavaScript, con el objetivo de que sea compatible con diferentes entornos, incluyendo dispositivos móviles y navegadores de escritorio.

La construcción interna de GANAControl utiliza la data del sistema de gestión financiera de la gobernación, el cual funciona con un motor de base de datos ORACLE, así como los datos del sistema de procesos contractuales de la institución, que utiliza una base de datos POTSGRESQL, ambos alojados en los servidores Linux de la entidad. La información contenida en estas dos bases de datos es procesada y almacenada en una tercera base de datos MySQL que contiene la información lista para ser desplegada en el formato JSON (formato de texto ligero para el intercambio de datos) el cual a su vez es consumido por la librería D3plus que se encarga de la construcción de las visualizaciones de GANAControl. La información de la base de datos MySQL, utilizada para la visualización, es generada por un proceso de recopilación y consolidación a partir de las dos bases de datos transaccionales (financiera y contractual) mediante una rutina programada que se ejecuta dos veces al día.",1.0,02/22/2016 12:00:00 AM,,http://gana.narino.gov.co/wp-content/uploads/2017/08/GANAControl.pdf
Neiva Travel,Software Público,"Neiva Travel cuenta con una interfaz sencilla la cual busca dar a conocer la gastronomía típica, eventos de importancia, fotos y las diferentes actividades que propios y visitantes pueden realizar en Neiva, capital del río Magdalena. Además cuenta con versión en español e inglés.","Comercio, Industria y Turismo",2018,,,https://github.com/AlcaldiaNeiva2018/Neiva_Travel,Alcaldía de Neiva,oscar.motta@alcaldianeiva.gov.co,Neiva Travel es una aplicación móvil desarrollada para dispositivos con sistema operativo Android. Esta aplicación busca promover e incentivar el turismo en la región.,1.3,07/17/2018 12:00:00 AM,https://www.youtube.com/watch?v=36iBiZHkJm8,https://drive.google.com/drive/folders/1Rqcr0CmPYdRl_Az-JH_je8c41biIGZjJ
Contrato de aprendizaje SENA,Software Público,"Es una aplicacion (base de datos) que me permite almacenar informacion sobre la organizacion donde se implemente, lleva un registro de todos los usuarios y empresas que esten vinculados para realizar un contrato de aprendizaje.",Talento Digital - 534 del 2011 (FONTIC),2014,,,,Cetasdi,joanmateom@gmail.com,"Facil de manejar, se puede realizar la modificaciòn de sus registro añadidos donde se pueden exportar a herramientas de office o imprimir.",1,09/18/2014 12:00:00 AM,,
SIGICS,Software Cívico,"SIGICS es el Sistema de Información Geográfica Interactivo Ciudadano del Páramo de Santurbán, una herramienta que funciona desde dispositivos móviles o equipos de escritorio. Para el caso de dispositivos móviles, se integra con Google Maps para permitir visualizar por georeferenciación la posición del usuario dentro o fuera de las diferentes áreas del Páramo de Santurbán en los Santanderes.

Capas del Mapa:

1. Delimitación Área de Páramo Santurbán - MADS 2014
2. Delimitación Área de Restauración Ecosistema Santurbán - MADS 2014
3. Delimitación Área de Agricultura Sostenible Santurbán - MADS 2014
4. Santanderes - IGAC 2018
5. Municipios Santurbán y Área de Influencia - IGAC 2018
6. Predios de Norte de Santander dentro del Área del Páramo Santurbán Parte 1 - IGAC 2018
7. Predios de Norte de Santander dentro del Área del Páramo Santurbán Parte 2 - IGAC 2018
8. Predios de Santander dentro del Área del Páramo Santurbán Parte 1 - IGAC 2018
9. Predios de Santander dentro del Área del Páramo Santurbán Parte 2 - IGAC 2018
10. Enlace Contáctenos

Número de Predios dentro de la Delimitación del Páramo de Santurbán establecida en la Resolución 2090 de 2014 (escala 1:25000):
Norte de Santander = 2770
Santander = 2529
Total = 5299

Fuentes: Ministerio de Ambiente y Desarrollo Sostenible, Instituto Geográfico Agustín Codazzi e Instituto de Investigación de Recursos Biológicos Alexander von Humboldt.

Desarrolló: 
Diego Rueda
Mesa de Trabajo Ambiental de Norte de Santander
Veeduría Ciudadana VerGestión Norte de Santander

Licencia Creative Commons Atribución 4.0 Internacional (CC-BY-NC-SA 4.0)",Ambiente y Desarrollo Sostenible,2019,,http://bit.ly/SIGICS,,Veeduría Ciudadana VerGestión Norte de Santander,vergestion.nds@gmail.com,"Capas del Mapa:

1. Delimitación Área de Páramo - MADS 2014
2. Delimitación Área de Restauración - MADS 2014
3. Delimitación Área de Agricultura Sostenible - MADS 2014
4. Delimitación Inicial - IAvH 2014
5. Límites Santanderes - IGAC 2014
6. Municipios Norte de Santander Área de Influencia - MADS 2017
7. Municipios Santander Área de Influencia - MADS 2017
8. Enlace para Compartir Fotos Ciudadanas Georeferenciadas tomadas en Santurbán
9. Enlace a la Mesa de Trabajo Ambiental
10. Enlace a la Veeduría Ciudadana VerGestión Norte de Santander",1.0.4,03/18/2019 12:00:00 AM,,
